2.272872	10.958183	3.668610
0.829075	10.772748	4.892708
-0.686821	9.620854	5.442608
-2.004120	8.114062	5.212053
-3.074904	6.804603	4.016024
-3.795344	6.152393	2.133266
-4.208615	6.248639	0.020308
-4.417562	6.676849	-2.031768
-4.493640	6.844787	-4.076203
-4.704681	6.257098	-5.958573
-5.057021	4.917250	-7.334078
-5.539105	3.164490	-7.984214
-5.882332	1.301312	-7.741135
-5.827038	-0.296441	-6.669165
-5.626655	-1.105761	-4.888365
-5.632964	-0.621139	-2.700849
-6.809933	0.518923	-1.332572
-8.132560	1.802938	-0.652958
-9.400395	3.226676	-0.293835
-9.816422	4.965098	0.394107
-9.453084	6.764361	0.965021
-8.353718	8.290270	1.363136
-6.699496	9.268656	1.508338
-4.766464	9.438451	1.618481
-2.790531	8.693888	1.772883
-0.860215	7.484455	1.954206
0.975898	6.129582	2.136070
2.586430	4.683976	2.120686
3.665637	3.176168	1.439526
4.049352	1.757344	0.159564
3.625140	0.494312	-1.248214
2.465895	-0.469494	-2.476338
0.772796	-1.104567	-3.210669
-1.064947	-0.884044	-3.675758
-3.002921	-0.373201	-3.777707
-5.125246	-0.449970	-3.437407
-6.650397	-1.917942	-2.722362
-7.027813	-3.413983	-1.453902
-6.620472	-4.317380	0.191772
-5.785830	-4.297392	1.957986
-4.627921	-3.462115	3.258616
-3.240521	-2.254728	3.821637
-1.982852	-0.767886	3.655044
-1.082605	0.755778	2.690508
-0.516287	2.276050	1.403907
0.025543	3.863037	0.137989
0.830799	5.630617	-0.691243
1.785540	7.464154	-0.623948
2.562558	9.054660	0.374614
2.866652	10.209538	2.010183
