x_0	x_1	x_2
5.29833	8.59289	4.37524
3.56174	8.66998	5.6364
1.61926	7.94423	6.29688
0.100774	6.37686	6.26684
-0.747306	4.66463	5.17005
-1.17133	3.58092	3.2043
-1.51423	3.1894	0.964892
-1.5878	2.65388	-1.13667
-1.13545	1.82818	-3.00997
-0.767063	0.699821	-4.72792
-0.862323	-0.750962	-6.29185
-1.21348	-2.67378	-7.39262
-1.72445	-4.93991	-7.44132
-2.3725	-6.82653	-6.20785
-3.15604	-7.30121	-4.09191
-4.17231	-6.02205	-2.37544
-5.46443	-4.2512	-1.31133
-6.74282	-2.81384	-0.157125
-7.14172	-1.48441	1.35192
-6.76415	0.275653	2.30283
-6.12404	2.10843	2.9346
-5.16351	3.87259	3.38226
-3.93241	5.52862	3.29908
-2.14248	6.54715	2.87111
0.0614151	6.54113	2.66242
2.22402	5.54049	2.84018
4.17584	4.0579	3.01924
5.78077	2.49803	2.40138
6.63336	1.15695	0.930932
6.52142	0.0891308	-0.874729
5.60498	-1.02475	-2.41141
4.36712	-2.14778	-3.66815
2.88922	-3.24796	-4.63087
1.04114	-4.21217	-4.72848
-1.20167	-4.28951	-4.65525
-3.6226	-4.22092	-4.94081
-5.91828	-4.84427	-4.80611
-7.21609	-6.01235	-3.29427
-7.08114	-6.6258	-1.03516
-5.93696	-6.31497	0.976912
-4.34346	-5.26215	2.21213
-2.67884	-4.00938	2.74247
-0.904864	-2.9327	2.6556
0.808527	-1.93154	2.08748
2.24216	-0.564567	1.38428
3.21752	1.24075	0.471788
4.41127	3.08214	-0.30205
5.81853	4.83776	-0.180978
6.71259	6.38614	1.06449
6.44996	7.73289	2.76517
