x_0	x_1	x_2
4.94658	8.08817	4.14912
3.37701	8.17304	5.21942
1.63871	7.5015	5.60858
0.16716	6.35272	5.2164
-0.800688	5.08003	4.16842
-1.2443	3.95014	2.68527
-1.28432	2.99633	1.01877
-1.07813	2.12693	-0.683499
-0.777541	1.21379	-2.34868
-0.530735	0.124354	-3.91194
-0.498068	-1.24637	-5.25293
-0.845654	-2.90147	-6.14429
-1.67048	-4.61194	-6.27168
-2.85199	-5.86603	-5.47455
-4.05303	-6.24636	-4.04658
-5.02102	-5.79104	-2.46179
-5.71978	-4.75128	-1.01041
-6.14789	-3.34597	0.223886
-6.26627	-1.71679	1.23195
-6.04522	0.0174049	2.02502
-5.45768	1.74489	2.62076
-4.48231	3.34434	3.03538
-3.11969	4.67087	3.28068
-1.4214	5.55292	3.36649
0.47271	5.82079	3.30335
2.33008	5.4413	3.0389
3.91427	4.5148	2.4949
5.02671	3.21697	1.63412
5.52352	1.78071	0.472113
5.37908	0.410634	-0.858575
4.68872	-0.799209	-2.17629
3.57525	-1.82778	-3.35293
2.1516	-2.69812	-4.30221
0.513477	-3.45366	-4.95965
-1.25176	-4.14283	-5.26739
-3.04694	-4.81132	-5.16058
-4.71978	-5.43477	-4.47396
-5.9551	-5.82342	-3.07848
-6.31213	-5.75839	-1.21686
-5.66993	-5.207	0.485649
-4.35414	-4.35048	1.57198
-2.75915	-3.37324	1.98566
-1.13157	-2.35939	1.88958
0.427397	-1.30773	1.49228
1.89346	-0.17161	0.986232
3.26003	1.10783	0.552039
4.49538	2.56672	0.37908
5.50336	4.17069	0.66337
6.06036	5.80091	1.4905
5.90759	7.21758	2.75682
