x_0	x_1	x_2
4.63168	7.16717	3.3006
3.44429	6.88902	4.98201
1.86424	6.10023	6.074
0.165316	4.96608	6.42403
-1.4318	3.6743	6.047
-2.74138	2.44075	5.01279
-3.60573	1.49791	3.40226
-4.00243	1.02491	1.44268
-4.0144	0.944971	-0.603167
-3.82654	1.10349	-2.626
-3.95149	1.26457	-4.61895
-4.73286	1.08966	-6.41239
-6.32785	0.71193	-7.47299
-8.26608	0.451831	-7.52971
-10.0168	0.607833	-6.62064
-11.189	1.20965	-5.13297
-11.5717	2.29611	-3.51701
-11.2589	3.66327	-2.1074
-10.3827	5.12037	-1.07466
-9.01597	6.3907	-0.374462
-7.2777	7.25631	0.0854848
-5.3326	7.60492	0.377156
-3.37816	7.28633	0.615957
-1.61441	6.33601	0.942959
-0.0840314	5.02398	1.44045
1.32396	3.58594	2.10183
2.72365	2.17785	2.83389
4.14214	0.832709	3.45569
5.57117	-0.543668	3.71032
6.82691	-2.01323	3.31805
7.64459	-3.54549	2.38553
7.9372	-5.11758	1.22486
7.6803	-6.71907	0.0927111
6.95193	-8.30152	-0.860293
5.78188	-9.79796	-1.42057
4.17165	-10.9517	-1.32282
2.40246	-11.4043	-0.543406
0.728259	-11.0443	0.447817
-0.539073	-9.81096	1.29482
-1.14791	-7.98277	1.60758
-0.978688	-6.1149	1.08631
-0.335074	-4.65989	-0.0810991
0.59117	-3.50324	-1.4215
1.69635	-2.28265	-2.58356
2.86568	-0.793397	-3.32524
3.9216	0.93756	-3.45915
4.71909	2.76749	-2.97487
5.23373	4.4679	-1.93543
5.45175	5.86783	-0.45438
5.28702	6.8184	1.36348
