x_0	x_1	x_2
5.38639	8.70639	4.41618
3.59385	8.77671	5.77991
1.84517	7.85062	6.65678
0.457576	6.25334	6.60072
-0.536149	4.70372	5.46387
-1.18676	3.65745	3.49739
-1.56166	3.20256	1.13434
-1.69173	3.01697	-1.30113
-1.52708	2.28559	-3.53988
-1.25024	1.05573	-5.51097
-1.26574	-0.654776	-7.10651
-1.54982	-2.82014	-7.85676
-1.85019	-5.02289	-7.57825
-2.09636	-6.66393	-6.30151
-2.74143	-6.94029	-4.40193
-3.88835	-5.98595	-2.74167
-5.22536	-4.40255	-1.48301
-6.59803	-2.71256	-0.373916
-7.58318	-1.13551	1.03827
-7.42078	0.508306	2.46516
-6.62958	2.43083	3.2255
-5.72172	4.41553	3.44309
-4.32329	6.05223	3.08677
-2.31346	6.88424	2.60552
0.0196172	6.54635	2.40326
2.11714	5.30532	2.69455
4.05373	3.80444	3.01812
5.8857	2.2812	2.66109
7.02383	0.851659	1.23386
7.15412	-0.280063	-0.685539
6.36377	-1.25571	-2.51843
5.03241	-2.45008	-3.89221
3.30545	-3.78614	-4.4544
0.980826	-4.30323	-4.51379
-1.48619	-4.27367	-4.64297
-3.93923	-4.33974	-4.67249
-6.09232	-4.84235	-4.20065
-7.31137	-5.87623	-2.94572
-7.09172	-6.73833	-1.06703
-6.01982	-6.7932	0.881148
-4.475	-6.05608	2.40718
-2.64834	-4.80735	3.14401
-0.714983	-3.54057	3.14502
1.08467	-2.21964	2.6027
2.32628	-0.497941	1.50933
3.38615	1.37524	0.34958
4.55819	3.34041	-0.355973
5.75036	5.23854	-0.244459
6.59028	6.85579	0.859797
6.54927	7.99105	2.66222
