x_0	x_1	x_2
4.52682	7.06387	3.17885
3.32431	6.83722	4.86906
1.797	6.10971	6.06168
0.119362	5.00412	6.55736
-1.48778	3.70602	6.29719
-2.83173	2.42161	5.3588
-3.79259	1.32925	3.89737
-4.30736	0.605367	2.06493
-4.36787	0.353637	0.0515006
-4.26761	0.447493	-1.97642
-4.34714	0.687551	-3.96815
-5.03853	0.736541	-5.81067
-6.56894	0.629164	-7.03019
-8.51664	0.593877	-7.2628
-10.296	0.969611	-6.51821
-11.4828	1.76756	-5.15938
-11.8869	2.89152	-3.58796
-11.4755	4.23387	-2.20613
-10.4241	5.5851	-1.22178
-8.93085	6.75545	-0.594419
-7.14154	7.56342	-0.195511
-5.17898	7.81681	0.102582
-3.23617	7.36657	0.353334
-1.55169	6.30181	0.700903
-0.133366	4.90271	1.21919
1.18414	3.441	1.93306
2.50544	2.06107	2.77147
3.87058	0.745803	3.53793
5.30139	-0.598723	3.89154
6.61883	-2.04189	3.56891
7.52404	-3.60657	2.74206
7.94264	-5.18021	1.60892
7.87845	-6.76391	0.43726
7.30755	-8.39833	-0.493681
6.19745	-9.95629	-0.945487
4.61545	-11.1191	-0.853406
2.76571	-11.5579	-0.347163
0.999977	-11.06	0.387403
-0.336083	-9.72744	0.951217
-0.992245	-7.87902	0.911669
-0.815245	-6.06546	0.196381
-0.0586459	-4.67965	-1.01378
0.962637	-3.5266	-2.3002
2.09696	-2.25209	-3.3427
3.19087	-0.659915	-3.86703
4.15586	1.11222	-3.80026
4.936	2.88743	-3.19531
5.45148	4.52016	-2.09595
5.6138	5.86366	-0.55592
5.31257	6.73962	1.2829
